codigo,producto,consumo_intermedio_domestico,consumo_intermedio_importado,impuestos_sobre_productos,subvenciones_sobre_productos,impuestos_netos_sobre_productos,valor_agregado_bruto_oficial,produccion_precios_basicos,residuo_identidad_columna
P001,Maíz,950.510913344629,711.576558696672,15.5689558828503,-179.322940594,-163.75398471115,3240.19410734865,4738.5275946788,0
P002,Frijoles,416.97729029216,128.26729552978,4.43018348654849,-76.852688826,-72.4225053394515,1066.59470451751,1539.416785,-2.27373675443232e-13
P003,Leguminosas (legumbres secas) y semillas oleaginosas,229.019554611864,133.660817928695,2.2341926393798,0,2.2341926393798,300.022875773801,664.937440953739,0
P004,Arroz,40.8564772575166,23.9275469349588,0.58580765012745,0,0.58580765012745,50.8692391526567,116.23907099526,0
P005,Otros cereales,23.0575515830751,19.6129017812929,0.437807844418625,0,0.437807844418625,63.3710304576753,106.479291666462,0
P006,Hortalizas,965.470212850267,468.353430434225,21.5784081578945,0,21.5784081578945,3809.27998883986,5264.68204028225,0
P007,Sandías y melones,255.884703041422,147.174450173382,4.99150489455798,0,4.99150489455798,853.631819578351,1261.68247768771,0
P008,Ejotes y arvejas,128.997342372136,63.1034585110463,2.86301168516451,0,2.86301168516451,576.206869288342,771.170681856689,0
P009,Raíces y tubérculos,527.164604220922,188.390614850212,8.83601132073645,0,8.83601132073645,1023.51964480984,1747.91087520171,0
P010,Caña de azúcar y otras plantas azucareras,3383.20884682389,768.472430828916,64.2569910388921,0,64.2569910388921,1938.08348130176,6154.02174999346,0
P011,Tabaco y otras plantas no perennes,339.468619246901,116.239482143996,6.16915550306076,0,6.16915550306076,821.77803454818,1283.65529144214,0
P012,"Bananos, plátanos y otros",1946.00997434392,717.562196031003,35.0154085468658,0,35.0154085468658,3341.48246644609,6040.07004536788,0
P013,Frutas tropicales y subtropicales,236.377386935085,97.1758047707799,3.89106116731015,0,3.89106116731015,1316.20887293882,1653.65312581199,0
P014,"Berries, otras frutas y semillas de frutas",361.644688965345,156.334187736059,6.23924407230698,0,6.23924407230698,1190.1633668251,1714.38148759881,0
P015,Palma africana,710.224500750694,255.716560147359,11.0551419353847,0,11.0551419353847,1437.90210986777,2414.89831270121,0
P016,Café en grano,5980.64376077406,248.06896189902,9.86221714231267,0,9.86221714231267,3414.77660079248,9653.35154060787,0
P017,Cardamomo,1201.12777158292,74.9655718851697,4.61442475190293,0,4.61442475190293,1041.68843828592,2322.39620650591,0
P018,Caucho natural,1694.38585209304,215.415725628686,18.607887682199,0,18.607887682199,1054.42011636279,2982.82958176672,0
P019,Propagación de plantas,269.116168075921,103.922446035642,13.634202335689,0,13.634202335689,179.872289111721,566.545105558973,0
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",57.5610281605475,27.2810055992447,2.36315360997502,0,2.36315360997502,144.920349767772,232.125537137539,0
P021,Ganado bovino,823.361068544643,292.09966767272,12.0592225151813,0,12.0592225151813,2899.36190859582,4026.88186732836,0
P022,Ganado porcino y otro tipo de animales vivos n.c.p.,796.314739982564,62.5957089671794,6.29656556378657,0,6.29656556378657,505.687176004473,1370.894190518,0
P023,Aves de corral,4120.21117202031,355.652996091683,17.6527151824942,0,17.6527151824942,2179.31707330404,6672.83395659852,0
P024,Leche cruda,1036.6203067005,297.17590919916,8.22107581388775,0,8.22107581388775,405.572467185606,1747.58975889915,0
P025,Huevos,908.733072183491,103.554005209561,7.14193348878601,0,7.14193348878601,1821.6100618924,2841.03907277424,0
P026,Otros productos de animales vivos,40.5695060713906,4.72692118127063,0.39059003184196,0,0.39059003184196,70.1204356284038,115.807452912907,1.4210854715202e-14
P027,Troncos de madera y leña,564.24111266922,226.208625804527,25.990816635111,0,25.990816635111,3837.21135171122,4653.65190682008,0
P028,Productos forestales no madereros,55.7187953545977,13.7287898635653,1.40229964054624,0,1.40229964054624,160.683089569332,231.532974428041,-2.8421709430404e-14
P029,"Peces vivos, frescos o refrigerados",149.149671757938,202.152016463825,33.4507583443968,0,33.4507583443968,501.152454202223,885.904900768382,0
P030,Crustáceos sin congelar y otros productos de la pesca,417.284734261481,79.9886346228056,5.87856804330796,0,5.87856804330796,385.076217149265,888.22815407686,0
P031,Petróleo crudo y gas natural,634.502770198833,390.657980000432,23.8067620121863,0,23.8067620121863,1473.59705726765,2522.5645694791,0
P032,Minerales metálicos,996.441078633669,555.298508655923,30.0067172898647,0,30.0067172898647,2445.94193946694,4027.6882440464,4.54747350886464e-13
P033,Minerales no metálicos,516.263875353606,227.248769129817,25.2380611358871,0,25.2380611358871,1131.22926850391,1899.97997412322,0
P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,4779.24553544344,103.608149050704,20.1663400146257,0,20.1663400146257,1458.3297035018,6361.34972801057,0
P035,Carne y despojos comestibles de ganado porcino,954.241014072583,8.99419037223027,1.89661810540389,0,1.89661810540389,305.252722591804,1270.38454514202,0
P036,Carne y despojos comestibles de aves,5641.18931074161,252.694284896384,23.4548241773539,0,23.4548241773539,1789.63225125758,7706.97067107293,0
P037,Carne y despojos de otros animales y conservas y preparados de carne,1333.48017184169,334.80149839665,18.821583316465,0,18.821583316465,834.756136506139,2521.85939006094,0
P038,"Pescado congelado, preparado o en conserva y sus productos",88.635017612062,341.258843466624,6.95823739606784,0,6.95823739606784,170.813679694773,607.665778169527,0
P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",160.153071770504,170.608265975132,2.1956042683503,0,2.1956042683503,135.261187479385,468.218129493371,0
